Timestamp,Latitude,Longitude,Altitude
17:10:51  0,18.6353423,73.8721131,624.0
17:10:51  0,18.6353425,73.8721131,624.0
17:10:51  0,18.6353425,73.8721131,624.0
17:10:51  0,18.6353425,73.8721131,624.0
17:10:51  0,18.6353425,73.8721131,624.0
17:10:51  0,18.6353425,73.8721131,624.0
17:10:51  0,18.6353425,73.872113,624.0
17:10:51  0,18.6353425,73.8721131,624.0
17:10:51  0,18.6353425,73.872113,624.0
17:10:52  0,18.6353426,73.872113,624.0
17:10:52  0,18.6353426,73.8721128,624.0
17:10:52  0,18.6353426,73.8721128,624.0
17:10:52  0,18.6353428,73.8721126,624.0
17:10:52  0,18.635343,73.8721125,624.0
17:10:52  0,18.6353431,73.8721123,624.0
17:10:52  0,18.6353435,73.872112,624.0
17:10:52  0,18.6353438,73.872111,624.0
17:10:52  3398,18.6353438,73.8721096,624.0
17:10:52  3270,18.6353441,73.8721088,624.0
17:10:53  3013,18.6353443,73.872108,624.0
17:10:53  3676,18.6353445,73.8721068,624.0
17:10:53  4081,18.635345,73.8721056,624.0
17:10:53  4498,18.6353453,73.8721041,624.0
17:10:53  3398,18.6353456,73.8721036,624.0
17:10:53  4385,18.6353465,73.8721025,624.0
17:10:53  4613,18.6353473,73.8721015,624.0
17:10:53  5152,18.6353481,73.8721,624.0
17:10:53  5115,18.635349,73.872099,624.0
17:10:53  4252,18.6353495,73.8720981,624.0
17:10:54  3816,18.6353498,73.8720975,624.0
17:10:54  4942,18.6353506,73.8720963,624.0
17:10:54  5928,18.6353518,73.872095,624.0
17:10:54  5806,18.6353523,73.8720936,624.0
17:10:54  6696,18.635353,73.8720915,624.0
17:10:54  6859,18.6353535,73.8720895,624.0
17:10:54  5983,18.6353536,73.8720881,624.0
17:10:54  4615,18.6353541,73.8720873,623.0
17:10:54  6091,18.6353551,73.8720856,623.0
17:10:54  7119,18.6353566,73.8720841,623.0
17:10:55  7689,18.6353581,73.8720823,623.0
17:10:55  8502,18.6353595,73.8720803,623.0
17:10:55  9741,18.635361,73.8720778,623.0
17:10:55  10454,18.6353628,73.8720756,623.0
17:10:55  10034,18.6353645,73.872074,623.0
17:10:55  10571,18.6353661,73.8720718,623.0
17:10:55  10063,18.6353671,73.8720688,623.0
17:10:55  11150,18.6353686,73.8720661,623.0
17:10:55  10565,18.6353701,73.8720643,623.0
17:10:55  9978,18.6353715,73.8720623,623.0
17:10:56  10304,18.6353726,73.8720601,623.0
17:10:56  10237,18.6353741,73.8720578,623.0
17:10:56  9198,18.6353755,73.872056,623.0
17:10:56  9726,18.635377,73.8720535,623.0
17:10:56  9995,18.635379,73.8720515,623.0
17:10:56  9658,18.6353806,73.8720496,622.0
17:10:56  9300,18.6353825,73.8720481,622.0
17:10:56  9732,18.6353841,73.872046,622.0
17:10:56  9613,18.6353861,73.8720445,622.0
17:10:56  9176,18.6353876,73.8720428,622.0
17:10:57  9226,18.6353893,73.872041,622.0
17:10:57  9300,18.635391,73.8720391,622.0
17:10:57  9252,18.6353928,73.8720375,622.0
17:10:57  9024,18.6353946,73.872036,622.0
17:10:57  9297,18.6353965,73.8720341,622.0
17:10:57  9391,18.6353983,73.8720325,622.0
